url,addr,price,page,header,description
https://kazan.cian.ru/sale/flat/287440152/,Республика Татарстан Казань р-н Ново-Савиновский Счастье в Казани ЖК,10 183 072 ₽,1,"1-комн. кв., 37,86 м², 4/20 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CAD1EC40>
https://kazan.cian.ru/sale/flat/289134610/,Республика Татарстан Казань р-н Советский улица Аделя Кутуя,6 690 000 ₽,1,"1-комн. кв., 37,05 м², 16/19 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CB119840>
https://kazan.cian.ru/sale/flat/283380232/,Республика Татарстан Казань р-н Советский мкр. Малые Клыки м. Горки Грин ЖК,5 621 272 ₽,1,"1-комн. кв., 33 м², 1/19 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CAD1EC40>
https://kazan.cian.ru/sale/flat/279080442/,Республика Татарстан Казань р-н Советский мкр. Дальний улица Крылова,6 500 000 ₽,1,"1-комн. кв., 39,4 м², 9/25 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CB119840>
https://kazan.cian.ru/sale/flat/287770697/,Республика Татарстан Казань р-н Приволжский м. Суконная слобода Квартал Сюита ЖК,9 397 992 ₽,1,"1-комн. кв., 35,79 м², 4/8 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CAD1EC40>
https://kazan.cian.ru/sale/flat/279960183/,"Республика Татарстан Казань р-н Приволжский мкр. 9,10,11 улица Юлиуса Фучика 62А",7 300 000 ₽,1,"1-комн. кв., 58 м², 8/10 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CB119540>
https://kazan.cian.ru/sale/flat/281329256/,Республика Татарстан Казань р-н Авиастроительный мкр. Караваево м. Авиастроительная улица Симонова 43,6 337 650 ₽,1,"1-комн. кв., 37,95 м², 7/10 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CAD1EC40>
https://kazan.cian.ru/sale/flat/285811806/,Республика Татарстан Казань р-н Советский мкр. Октябрьский городок улица Николая Ершова 62Г,7 590 000 ₽,1,"1-комн. кв., 39,1 м², 1/10 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CB119840>
https://kazan.cian.ru/sale/flat/282370142/,Республика Татарстан Казань р-н Советский м. Площадь Тукая Сиберово ЖК 1,6 332 054 ₽,1,"1-комн. кв., 34,3 м², 1/11 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CAD1EC40>
https://kazan.cian.ru/sale/flat/285365009/,Республика Татарстан Казань р-н Приволжский мкр. Изумрудный город улица Академика Завойского 21Бк1,6 250 000 ₽,1,"1-комн. кв., 39,4 м², 7/21 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CB119540>
https://kazan.cian.ru/sale/flat/289780769/,Республика Татарстан Казань р-н Советский м. Аметьево улица Аметьевская магистраль 18к5,10 300 000 ₽,1,"1-комн. кв., 48 м², 4/25 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CAD1EC40>
https://kazan.cian.ru/sale/flat/289720148/,Республика Татарстан Казань р-н Советский мкр. Октябрьский городок м. Суконная слобода улица Николая Ершова 66Б,8 400 000 ₽,1,"1-комн. кв., 36,06 м², 13/19 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CB119740>
https://kazan.cian.ru/sale/flat/287882683/,Республика Татарстан Казань р-н Советский м. Горки Нокса Парк ЖК 7,6 022 512 ₽,1,"1-комн. кв., 40,5 м², 11/12 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CAD1EC40>
https://kazan.cian.ru/sale/flat/288465845/,Республика Татарстан Казань р-н Приволжский мкр. Поповка Магистральная улица 34,3 350 000 ₽,1,"1-комн. кв., 32,8 м², 5/9 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CB119840>
https://kazan.cian.ru/sale/flat/287389803/,Республика Татарстан Казань р-н Кировский мкр. Ягодная слобода м. Козья слобода Краснококшайская улица 58,7 931 195 ₽,1,"1-комн. кв., 33,6 м², 19/24 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CAD1EC40>
https://kazan.cian.ru/sale/flat/286251296/,Республика Татарстан Казань р-н Советский мкр. Танкодром улица Карбышева 1/30,3 699 000 ₽,1,"1-комн. кв., 31,3 м², 1/5 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CB119740>
https://kazan.cian.ru/sale/flat/290811354/,Республика Татарстан Казань р-н Советский мкр. Куба Уникум на Ершова ЖК,9 198 000 ₽,1,"1-комн. кв., 39,3 м², 5/10 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CAD1EC40>
https://kazan.cian.ru/sale/flat/284104832/,Республика Татарстан Казань р-н Советский мкр. Куба м. Площадь Тукая улица Новаторов 2в,6 849 000 ₽,1,"1-комн. кв., 38,25 м², 6/20 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CB119840>
https://kazan.cian.ru/sale/flat/287798572/,Республика Татарстан Казань р-н Ново-Савиновский м. Козья слобода Савин Фемили ЖК,10 173 663 ₽,1,1-комн. квартира в новостройке,<async_generator object CianspiderSpider.parse_additional at 0x00000189CAD1EC40>
https://kazan.cian.ru/sale/flat/290315518/,Республика Татарстан Казань р-н Ново-Савиновский мкр. квартал 11 м. Яшьлек улица Восстания 7,4 149 000 ₽,1,"1-комн. кв., 32 м², 2/5 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CB119740>
https://kazan.cian.ru/sale/flat/290336001/,Республика Татарстан Казань р-н Вахитовский м. Площадь Тукая улица Дулата Али,11 059 643 ₽,1,"1-комн. кв., 35,76 м², 9/15 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CAD1EC40>
https://kazan.cian.ru/sale/flat/287966158/,Республика Татарстан Казань р-н Московский м. Яшьлек улица Энергетиков 2/3,2 200 000 ₽,1,Отличная студия возле метро!!!,<async_generator object CianspiderSpider.parse_additional at 0x00000189CB119840>
https://kazan.cian.ru/sale/flat/273912830/,Республика Татарстан Казань р-н Советский м. Суконная слобода улица Академика Губкина 12Б,12 640 000 ₽,1,"1-комн. кв., 75,96 м², 19/19 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CAD1EC40>
https://kazan.cian.ru/sale/flat/289416194/,Республика Татарстан Казань р-н Советский м. Суконная слобода улица Шуртыгина 24,4 100 000 ₽,1,"1-комн. кв., 30 м², 7/9 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CB119540>
https://kazan.cian.ru/sale/flat/290828569/,Республика Татарстан Казань р-н Авиастроительный м. Северный Вокзал улица Михаила Миля 3,5 500 000 ₽,1,"1-комн. кв., 33,46 м², 1/15 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CAD1EC40>
https://kazan.cian.ru/sale/flat/289937452/,Республика Татарстан Казань р-н Приволжский мкр. Горки-1 м. Горки улица Братьев Касимовых 32,4 199 000 ₽,1,"1-комн. кв., 32 м², 1/5 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CB119840>
https://kazan.cian.ru/sale/flat/289505163/,Республика Татарстан Казань р-н Советский м. Аметьево улица Аделя Кутуя 86,6 020 280 ₽,1,"1-комн. кв., 23,89 м², 3/20 этаж",<async_generator object CianspiderSpider.parse_additional at 0x00000189CAD1EC40>
https://kazan.cian.ru/sale/flat/290777435/,Республика Татарстан Казань р-н Кировский мкр. Ягодная слобода улица 2-я Юго-Западная 9,7 300 000 ₽,1,Уютная 1 комнатная квартира,<async_generator object CianspiderSpider.parse_additional at 0x00000189CB119740>
url,addr,price,page,header,description
https://kazan.cian.ru/sale/flat/287440152/,Республика Татарстан Казань р-н Ново-Савиновский Счастье в Казани ЖК,10 183 072 ₽,1,"1-комн. кв., 37,86 м², 4/20 этаж",
https://kazan.cian.ru/sale/flat/289134610/,Республика Татарстан Казань р-н Советский улица Аделя Кутуя,6 690 000 ₽,1,"1-комн. кв., 37,05 м², 16/19 этаж",
https://kazan.cian.ru/sale/flat/283380232/,Республика Татарстан Казань р-н Советский мкр. Малые Клыки м. Горки Грин ЖК,5 621 272 ₽,1,"1-комн. кв., 33 м², 1/19 этаж",
https://kazan.cian.ru/sale/flat/279080442/,Республика Татарстан Казань р-н Советский мкр. Дальний улица Крылова,6 500 000 ₽,1,"1-комн. кв., 39,4 м², 9/25 этаж",
https://kazan.cian.ru/sale/flat/287770697/,Республика Татарстан Казань р-н Приволжский м. Суконная слобода Квартал Сюита ЖК,9 397 992 ₽,1,"1-комн. кв., 35,79 м², 4/8 этаж",
https://kazan.cian.ru/sale/flat/279960183/,"Республика Татарстан Казань р-н Приволжский мкр. 9,10,11 улица Юлиуса Фучика 62А",7 300 000 ₽,1,"1-комн. кв., 58 м², 8/10 этаж",
https://kazan.cian.ru/sale/flat/281329256/,Республика Татарстан Казань р-н Авиастроительный мкр. Караваево м. Авиастроительная улица Симонова 43,6 337 650 ₽,1,"1-комн. кв., 37,95 м², 7/10 этаж",
https://kazan.cian.ru/sale/flat/285811806/,Республика Татарстан Казань р-н Советский мкр. Октябрьский городок улица Николая Ершова 62Г,7 590 000 ₽,1,"1-комн. кв., 39,1 м², 1/10 этаж",
https://kazan.cian.ru/sale/flat/282370142/,Республика Татарстан Казань р-н Советский м. Площадь Тукая Сиберово ЖК 1,6 332 054 ₽,1,"1-комн. кв., 34,3 м², 1/11 этаж",
https://kazan.cian.ru/sale/flat/285365009/,Республика Татарстан Казань р-н Приволжский мкр. Изумрудный город улица Академика Завойского 21Бк1,6 250 000 ₽,1,"1-комн. кв., 39,4 м², 7/21 этаж",
https://kazan.cian.ru/sale/flat/289780769/,Республика Татарстан Казань р-н Советский м. Аметьево улица Аметьевская магистраль 18к5,10 300 000 ₽,1,"1-комн. кв., 48 м², 4/25 этаж",
https://kazan.cian.ru/sale/flat/289720148/,Республика Татарстан Казань р-н Советский мкр. Октябрьский городок м. Суконная слобода улица Николая Ершова 66Б,8 400 000 ₽,1,"1-комн. кв., 36,06 м², 13/19 этаж",
https://kazan.cian.ru/sale/flat/287882683/,Республика Татарстан Казань р-н Советский м. Горки Нокса Парк ЖК 7,6 022 512 ₽,1,"1-комн. кв., 40,5 м², 11/12 этаж",
https://kazan.cian.ru/sale/flat/288465845/,Республика Татарстан Казань р-н Приволжский мкр. Поповка Магистральная улица 34,3 350 000 ₽,1,"1-комн. кв., 32,8 м², 5/9 этаж",
https://kazan.cian.ru/sale/flat/287389803/,Республика Татарстан Казань р-н Кировский мкр. Ягодная слобода м. Козья слобода Краснококшайская улица 58,7 931 195 ₽,1,"1-комн. кв., 33,6 м², 19/24 этаж",
https://kazan.cian.ru/sale/flat/286251296/,Республика Татарстан Казань р-н Советский мкр. Танкодром улица Карбышева 1/30,3 699 000 ₽,1,"1-комн. кв., 31,3 м², 1/5 этаж",
https://kazan.cian.ru/sale/flat/290811354/,Республика Татарстан Казань р-н Советский мкр. Куба Уникум на Ершова ЖК,9 198 000 ₽,1,"1-комн. кв., 39,3 м², 5/10 этаж",
https://kazan.cian.ru/sale/flat/284104832/,Республика Татарстан Казань р-н Советский мкр. Куба м. Площадь Тукая улица Новаторов 2в,6 849 000 ₽,1,"1-комн. кв., 38,25 м², 6/20 этаж",
https://kazan.cian.ru/sale/flat/287798572/,Республика Татарстан Казань р-н Ново-Савиновский м. Козья слобода Савин Фемили ЖК,10 173 663 ₽,1,1-комн. квартира в новостройке,
https://kazan.cian.ru/sale/flat/290315518/,Республика Татарстан Казань р-н Ново-Савиновский мкр. квартал 11 м. Яшьлек улица Восстания 7,4 149 000 ₽,1,"1-комн. кв., 32 м², 2/5 этаж",
https://kazan.cian.ru/sale/flat/290336001/,Республика Татарстан Казань р-н Вахитовский м. Площадь Тукая улица Дулата Али,11 059 643 ₽,1,"1-комн. кв., 35,76 м², 9/15 этаж",
https://kazan.cian.ru/sale/flat/287966158/,Республика Татарстан Казань р-н Московский м. Яшьлек улица Энергетиков 2/3,2 200 000 ₽,1,Отличная студия возле метро!!!,
https://kazan.cian.ru/sale/flat/273912830/,Республика Татарстан Казань р-н Советский м. Суконная слобода улица Академика Губкина 12Б,12 640 000 ₽,1,"1-комн. кв., 75,96 м², 19/19 этаж",
https://kazan.cian.ru/sale/flat/289416194/,Республика Татарстан Казань р-н Советский м. Суконная слобода улица Шуртыгина 24,4 100 000 ₽,1,"1-комн. кв., 30 м², 7/9 этаж",
https://kazan.cian.ru/sale/flat/290828569/,Республика Татарстан Казань р-н Авиастроительный м. Северный Вокзал улица Михаила Миля 3,5 500 000 ₽,1,"1-комн. кв., 33,46 м², 1/15 этаж",
https://kazan.cian.ru/sale/flat/289937452/,Республика Татарстан Казань р-н Приволжский мкр. Горки-1 м. Горки улица Братьев Касимовых 32,4 199 000 ₽,1,"1-комн. кв., 32 м², 1/5 этаж",
https://kazan.cian.ru/sale/flat/289505163/,Республика Татарстан Казань р-н Советский м. Аметьево улица Аделя Кутуя 86,6 020 280 ₽,1,"1-комн. кв., 23,89 м², 3/20 этаж",
https://kazan.cian.ru/sale/flat/290777435/,Республика Татарстан Казань р-н Кировский мкр. Ягодная слобода улица 2-я Юго-Западная 9,7 300 000 ₽,1,Уютная 1 комнатная квартира,
https://kazan.cian.ru/sale/flat/284794896/,Республика Татарстан Казань р-н Советский мкр. Малые Клыки м. Горки Светлая Долина ЖК,6 094 500 ₽,2,"1-комн. кв., 35,85 м², 2/25 этаж",
